Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Médilien Dorcely,GFCD,92,0.8,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Julien André,MRN,73,0.6,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Paulna Celestin,Tet Ansanm,42,0.4,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,,,,,,,,
Elections to the Chamber of Deputies,VERRETTES,ARTIBONITE,2006,Jean Beauvois DORSONNE,LAAA,"7,881",30.6,"13,827",51.5,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,P André Garçonnet,Lespwa,"6,334",24.6,"13,002",48.5,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Frantz Formonvil,OPL,"4,117",16,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Josmen Laurent,Fusion,"3,486",13.5,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,R Hancy Dorneville,Modereh,"1,131",4.4,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Choule Prinvil,RDNP,"1,034",4,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,P Ruben Noréus,Mochrenha,278,1.1,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Jn René St Philippe,MNP,221,0.9,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Philistin Elustin,Konba,173,0.7,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Edwidge Jn Charles,Tet Ansanm,166,0.6,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Sélec Saint-Cyr,GFCD,161,0.6,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Merléon Mertus,Adebah,97,0.4,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,Astrel Louis,MPH,90,0.4,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,,,,,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,,,,,,,,
Elections to the Chamber of Deputies,,ARTIBONITE,2006,,,,,,,,
Elections to the Chamber of Deputies,BELLADERE,CENTRE,2006,Amos Duboirant,FRN,"2,432",21.4,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Lutherking E Marcadieu,OPL,"2,057",18.1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jones Drice Germain,Fusion,"1,934",17.1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Isael Poncette,Konba,"1,593",14,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Rivière Maindre,RDNP,"1,273",11.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Reynold Fleury,Alyans,617,5.4,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Yvonne Monclair,MPH,308,2.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,CERCA CARVAJAL,CENTRE,2006,A Rodon BIEN-AIMÉ,MPH,"2,092",43.9,"2,477",64.7,,
Elections to the Chamber of Deputies,,CENTRE,2006,Moloche Dulorier,Konba,853,17.9,"1,351",35.3,,
Elections to the Chamber of Deputies,,CENTRE,2006,Charité Emmanuel,Alyans,648,13.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Wide Raphael,Lespwa,410,8.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Sylvio Jean,Fusion,394,8.3,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Dieunet Sinéus,JPD,122,2.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,CERCA LA SOURCE - THOMASSIQUE,CENTRE,2006,Nicson DORESTIL,Lespwa,"4,304",27.5,"4,506",53.5,,
Elections to the Chamber of Deputies,,CENTRE,2006,Bernard Salomon,Konba,"3,064",19.6,"3,910",46.5,,
Elections to the Chamber of Deputies,,CENTRE,2006,Mercidieu Clercius,MIRN,"2,444",15.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jacky C Pierre,RDNP,"1,749",11.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Castel Celestin,MPH,"1,011",6.5,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jn C Eddy Dupont,Fusion,799,5.1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,André Belot,Unité,737,4.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Filuis Rosambert,Mochrenah,315,2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Bazelais Jn Baptiste,FRN,112,0.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,HINCHE,CENTRE,2006,Paules Noel,Konba,"4,506",23.5,"3,626",38.6,,
Elections to the Chamber of Deputies,,CENTRE,2006,Louis-Mary DANIEL,Tet Ansanm,"4,472",23.3,"5,770",61.4,,
Elections to the Chamber of Deputies,,CENTRE,2006,Clotère Lorméus,MPH,"1,858",9.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Presmy Pierre,Fusion,"1,842",9.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Delamain Joseph,RDNP,"1,385",7.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Charles Constel,OPL,"1,330",6.9,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Aland Garcon,JPD,810,4.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Abner Jean,MIRN,610,3.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Despinosse Edouard,Alyans,540,2.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jacques E Laguerre,Mochrenha,359,1.9,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Dieumeny Jacques,Madidh,314,1.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,LASCAHOBAS,CENTRE,2006,Charlemagne DENAUD,OPL,"3,065",28.2,"4,406",59.4,,
Elections to the Chamber of Deputies,,CENTRE,2006,Markentz Signé,Fusion,"2,185",20.1,"3,005",40.6,,
Elections to the Chamber of Deputies,,CENTRE,2006,Gabriel Lyonel Jean,Konba,"1,791",16.5,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Frantz Augustin Dumény,Unité,961,8.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Osner Pierre,Tet Ansanm,802,7.4,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Pierre Mathéus Baldé,Union,388,3.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jules Elie Jean,MPH,329,3,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Junior Faustin Dumény,Frontciph,249,2.3,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,MAISSADE,CENTRE,2006,Renold Beaugé,Fusion,"3,415",35.6,"2,622",41.9,,
Elections to the Chamber of Deputies,,CENTRE,2006,Willot JOSEPH,Alyans,"3,021",31.5,"3,639",58.1,,
Elections to the Chamber of Deputies,,CENTRE,2006,Ossagnol Servil,Konba,"1,701",17.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Denis Joseph,MPH,594,6.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,MIREBALAIS - BOUCAN CARRE,CENTRE,2006,Urguintz Louis,Adebha,"3,977",19.7,"5,153",44.9,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jean-Claude LUBIN,Lespwa,"3,246",16.1,"6,324",55.1,,
Elections to the Chamber of Deputies,,CENTRE,2006,Waking Novembre,Konba,"2,466",12.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Yves Antoine Gardere,Fusion,"1,163",5.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Marie André Janvier,MIRN,"1,092",5.4,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jean Boston Israel,MPH,936,4.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Marie Line Jn Gilles,JPD,908,4.5,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Renald Pierre,OPL,838,4.1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Victor Jn Baptiste,Union,671,3.3,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jean Francky Desgrottes,Tet Ansanm,636,3.1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Chavannes Joseph,FRN,603,3,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Necka Brutus,Alyans,457,2.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Erinece Saint-Jean,Mochrenha,447,2.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jacques Chevry,MUP,442,2.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Marc Nicolas Estinfil,Pitach,367,1.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Indrick Frederic,PSR,238,1.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,SAUT D'EAU,CENTRE,2006,Léonel Avril,Fusion,"1,673",25.6,"2,679",49.4,,
Elections to the Chamber of Deputies,,CENTRE,2006,Smith ROMIAL,MPH,"1,658",25.4,"2,740",50.6,,
Elections to the Chamber of Deputies,,CENTRE,2006,Nestor Saurel Paul,Mochrenha,"1,059",16.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,André Toussainvil,Alah,326,5,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Luc Thenbert Alcius,GFCD,276,4.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jn Marie J Erick Jn Paule,RDNP,275,4.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Philippe Giordany Pierre,MNP,256,3.9,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Franck S F Louissaint,JPD,186,2.9,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,SAVANETTE,CENTRE,2006,Béleau Brice,OPL,"1,959",36,"5,585",46.2,,
Elections to the Chamber of Deputies,,CENTRE,2006,Joseph Joel LOUIS,Konba,832,15.3,"6,508",53.8,,
Elections to the Chamber of Deputies,,CENTRE,2006,Faustin Figaro,Fusion,734,13.5,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jean Nesly Orelien,Union,354,6.5,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jaksonne Georges,Alyans,292,5.4,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Raoul Comeau,Lespwa,204,3.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Louibès Nathan,Alah,177,3.3,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Samuel Petit-Brun,MPH,140,2.6,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Kernizan Michel,Mochrenha,100,1.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jean-Phèdre Delva,FRN,55,1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jean-Baptiste Pierre,Unité,51,0.9,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Guy Senobe,Tet Ansanm,51,0.9,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Guerchon Guerrard,Greh,44,0.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,THOMONDE,CENTRE,2006,Me Denise Bernadeau,Union,"1,591",21,"2,117",44,,
Elections to the Chamber of Deputies,,CENTRE,2006,Enel APPOLON,Lespwa,"1,139",15,"2,692",56,,
Elections to the Chamber of Deputies,,CENTRE,2006,Josselin Val,Fusion,"1,048",13.8,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Raymond Plaisir,Alyans,920,12.2,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Jean Rémy Raphael,Konba,764,10.1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Roland Jean,MIRN,585,7.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Ronald Cassagnole,JPD,431,5.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Devy Narcisse,MPH,407,5.4,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,N Barachiel Vernet,FRN,206,2.7,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Colette Vernet,Alah,115,1.5,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,Fanel Frederic,Mochrenha,73,1,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,,CENTRE,2006,,,,,,,,
Elections to the Chamber of Deputies,ABRICOTS - BONBON,GRAND’ANSE,2006,Jn Rigaud BELIZAIRE,OPL,"1,316",15.7,"3,376",55.5,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Chavenet Clerjour,Fusion,"1,128",13.4,"2,704",44.5,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Josil Brunache,Lespwa,"1,097",13.1,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,P Lesly Michaud,Union,921,11,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Geffrard Etienne,Alyans,794,9.5,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Louipha Louis,Konba,742,8.8,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Mie Carmelle Charlotin,JPD,600,7.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Lufranc Luma,Tet Ansanm,351,4.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,J  Ronès Achille,Mochrenah,259,3.1,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Berthol Toussaint,RDNP,221,2.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Minès Marc,MPH,188,2.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Clerveau Gilot,PNDPH,139,1.7,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,ANSE D'HAINAULT - LES IROIS,GRAND’ANSE,2006,Orelien JOACHIM,OPL,"2,905",25.9,"5,074",53.2,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Ernst Alabré,Fusion,"2,526",22.5,"4,467",46.8,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Haut-Fort Bajon,Modereh,"2,253",20.1,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,"Mie, Roselor Aubourg",Alyans,"1,139",10.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Michelet Jerome,Union,658,5.9,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Emmanuel Laurore,FRN,524,4.7,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,P Tony Voltaire,PNDPH,209,1.9,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Louiné Joseph,Tet Ansanm,177,1.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,William Louis Charles,Mochrenah,92,0.8,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Buland Semervil,Alah,74,0.7,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,BEAUMONT - PESTEL,GRAND’ANSE,2006,Ronald Etienne,FRN,"3,877",38.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Dionald Polyte,Fusion,"2,815",27.9,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Bergemane Sylvain,Lespwa,"1,536",15.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Nobert François,Union,563,5.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Generve Desmon,Alyans,438,4.3,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Raymond Azor,Mochrenah,256,2.5,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Joel Jean Pierre,RDNP,120,1.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Wisman Fortil,MPH,63,0.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Sanon Josil,PNDPH,18,0.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,St Victor Jeune,Tet Ansanm,18,0.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,CORAIL - ROSEAUX,GRAND’ANSE,2006,Nicolas DECOSSE,Fusion,"2,425",21.1,"7,415",55.1,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Alix Germain,Lespwa,"1,932",16.8,"6,038",44.9,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Rigaud Fremont,FRN,"1,070",9.3,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Junel St Juste,Lavalas,978,8.5,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Clodel Saint-Louis,Union,881,7.7,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Tarzan François,Adebah,719,6.3,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Robert Jeudy,OPL,690,6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Fanfan Joseph,MPH,390,3.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Raynold Josil,Tet Ansanm,360,3.1,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Mompelor Cadet,JPD,280,2.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Carine Laure Louissaint,Pont,272,2.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Eddy Etienne,Mochrenah,219,1.9,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Geravel Jean,MIRN,151,1.3,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Gernerve Desmon,Alyans,136,1.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,DAME-MARIE,GRAND’ANSE,2006,Jn Acklush Louis JEUNE,OPL,"2,952",34.1,"4,517",61.5,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Operny Petit,Fusion,"2,059",23.8,"2,833",38.5,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Fritz Pierrre,RDNP,830,9.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jean Sylvain,Mochrenah,805,9.3,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Berne Michel,Union,736,8.5,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Beaugélique Arismé,Alyans,688,8,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jean Cemane Semervil,Tet Ansanm,147,1.7,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,JEREMIE,GRAND’ANSE,2006,Jn Rupert Laforest,Lespwa,"5,658",23.1,"6,845",48.3,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Mercier YSIDOR,RDNP,"5,006",20.5,"7,342",51.7,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Osnel Céjour,Tet Ansanm,"1,772",7.3,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Paulemont Michel,Modereh,"1,556",6.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Mie Therese Pacot,Lavalas,"1,475",6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Winderson Esmond,PNDPH,"1,413",5.8,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Kesner Numa,OPL,"1,378",5.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Luc Deruisseaux,Alyans,"1,260",5.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Wesley F Etienne,Fusion,"1,067",4.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jn Fabien Pierre,FRN,849,3.5,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Fritz Auguste,MPH,597,2.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,A Nicosse Paulemond,Konba,399,1.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,G  Benjamin François,JPD,369,1.5,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Eddy Saint Phar,Pacapalah,259,1.1,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,MORON - CHAMBELLAN,GRAND’ANSE,2006,Sorel JACINTHE,Fusion,"3,834",51.6,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,A Marie Bienvil,Lespwa,"2,032",27.4,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Larousse Pleteau,MPH,794,10.7,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Vico Bellevue,Union,312,4.2,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Kedner Fresnel,OPL,130,1.8,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Steevenson Daphnis,Adebah,61,0.8,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jean Ronald Azor,RDNP,40,0.5,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,Jacky Dorvil,JPD,20,0.3,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,,GRAND’ANSE,2006,,,,,,,,
Elections to the Chamber of Deputies,ANSE-A-VEAU - ARNAUD,NIPPES,2006,Frantz Robert MONDE,Fusion,"2,643",30.5,"3,740",61.9,,
Elections to the Chamber of Deputies,,NIPPES,2006,F P André Fequiere,Adebha,"1,863",21.5,"2,301",38.1,,
Elections to the Chamber of Deputies,,NIPPES,2006,Wilner Augustin,Mochrenha,"1,571",18.2,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Flores Henry,Alyans,"1,188",13.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Gérard Preval,Union,525,6.1,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Wilfrid Dabrezil,Adrena,277,3.2,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,BARADERES - GRAND BOUCAN,NIPPES,2006,Lawens Delvois,Union,"2, 550",29.8,"2,930",47.8,,
Elections to the Chamber of Deputies,,NIPPES,2006,Casimir MICHELET,OPL,"1,652",19.3,"3,202",52.2,,
Elections to the Chamber of Deputies,,NIPPES,2006,Yves Etienne,Alyans,"1,114",13,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Ernso Melay,GFCD,848,9.9,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Marcelaine Robuste,Mochrenha,701,8.2,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Louiseul Sanon,MRN,583,6.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Levasson Pierre,Fusion,419,4.9,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Franklin Gourdet,Pacapalah,311,3.6,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,L'ASILE,NIPPES,2006,Francenet DENIUS,Union,"4,303",63,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Jean Ronald Saul,OPL,"1,353",19.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Robert Joseph,Mochrenha,422,6.2,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Diony Rejouis,Alyans,386,5.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Myrtha Erase,FRN,115,1.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,MIRAGOANE - FONDS DES NEGRES,NIPPES,2006,Guerrier Georges,Lespwa,"3,914",17.1,"2,523",30,,
Elections to the Chamber of Deputies,,NIPPES,2006,Poly FAUSTIN,Lavalas,"2,716",11.9,"5,886",70,,
Elections to the Chamber of Deputies,,NIPPES,2006,Joseph Gaspard,RDNP,"2,601",11.4,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Laurent Jadothe,OPL,"2,580",11.3,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Jean Phael Morisseau,Union,"2,240",9.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Enock Pierre Louis,MPH,"1,369",6,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Jackson Louis,Mochrenha,"1,291",5.6,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Nicolas Poulard,GFCD,899,3.9,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Miguel Charlin,Modereh,858,3.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Raymond Fabilus,Konba,686,3,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Willy Pierre Louis,Fusion,676,3,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Cossoguy Ernest,Adrena,474,2.1,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Nesly Valcy,FRN,400,1.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Réjonal Dupont,Pacapalah,153,0.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,PETITE RIVIERE - PAILLANT,NIPPES,2006,Laurore EDOUARD,Union,"3,092",26.8,"3,105",50.7,,
Elections to the Chamber of Deputies,,NIPPES,2006,Ulrick Filossaint,Lespwa,"2,703",23.5,"3,021",49.3,,
Elections to the Chamber of Deputies,,NIPPES,2006,Steeve Aristide,OPL,"1,600",13.9,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Marlange Oreus,FRN,"1,018",8.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Jean Guillaume Joseph,MPH,722,6.3,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Wilner Ilerme,MRN,588,5.1,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Ronald Joanuel,Mochrenha,435,3.8,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Nickel Pierre,Tet Ansanm,381,3.3,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Jean Septama Romulus,JPD,196,1.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,,,,,,,,
Elections to the Chamber of Deputies,PETIT-TROU-DE-NIPPES - PLAISANCE DU SUD,NIPPES,2006,Armand Noze,Union,"1,534",17.3,"2,371",46.8,,
Elections to the Chamber of Deputies,,NIPPES,2006,Lamy Pressoir GERMAIN,Fusion,"1,439",16.2,"2,690",53.2,,
Elections to the Chamber of Deputies,,NIPPES,2006,Raynold Croissy,OPL,"1,053",11.9,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Vladimir Yayo,Adebha,727,8.2,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Leonard S Turenne,RDNP,680,7.7,,,,
Elections to the Chamber of Deputies,,NIPPES,2006,Arthur Jose,Lavalas,660,7.4,,,,
