Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
SENATE 1st Round Election,,SUD EST,2016,,,,,,,Senate elections from 2015,http://psephos.adam-carr.net/countries/h/haiti/haiti20163.txt
SENATE 1st Round Election,,SUD EST,2016,,,,,,,,
Senate 2nd Round Election,,CENTRE,2016,Willot JOSEPH,PHTK,,,"50,626",38.9,,
Senate 2nd Round Election,,CENTRE,2016,Wilfrid GELIN,PHTK,,,"31,115",23.9,,
Senate 2nd Round Election,,CENTRE,2016,Jean Junior Jiha,Bouclier,,,"24,783",19,,
Senate 2nd Round Election,,CENTRE,2016,Gregory Chevry,LAPEH,,,"23,754",18.2,,
Senate 2nd Round Election,,CENTRE,2016,,,,,,,,
Senate 2nd Round Election,,GRAND ANSE,2016,Guy PHILIPPE,Consortium,,,"33,943",,,
Senate 2nd Round Election,,GRAND ANSE,2016,Sorel JACINTHE,Inite,,,"28,368",,,
Senate 2nd Round Election,,GRAND ANSE,2016,Michel Clerie,PHTK,,,,,,
Senate 2nd Round Election,,GRAND ANSE,2016,Jean Maxime Roumer,Bouclier,,,,,,
Senate 2nd Round Election,,GRAND ANSE,2016,,,,,,,,
Senate 2nd Round Election,,NORD,2016,Dieudonne Etienne LUMA,PHTK,,,"90,617",34.9,,
Senate 2nd Round Election,,NORD,2016,Nawoon MARCELLUS,Bouclier,,,"80,942",31.2,,
Senate 2nd Round Election,,NORD,2016,Kely C Bastien,Verite,,,"52,976",20.4,,
Senate 2nd Round Election,,NORD,2016,Justin Metelus,Bouclier,,,"33,932",13.1,,
Senate 2nd Round Election,,NORD,2016,,,,,,,,
Senate 2nd Round Election,,NORD,2016,,,,,,,,
Senate 2nd Round Election,,NORD,2016,,,,,,,Chamber of Deputies elections from 2015,http://psephos.adam-carr.net/countries/h/haiti/haiti20164.txt
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),DESDUNES,ARTIBONITE,2016,Baudelaire NOELSAINT,OPL,,,"4,089",57.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,Isaac Ceus,AAA,,,"2,990",42.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PETITE RIVIERE DE L'ARTIBONITE,ARTIBONITE,2016,Prophane VICTOR,Bouclier,,,"6,737",54.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,Louiner Fontil,AAA,,,"5,570",44.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT MARC,ARTIBONITE,2016,Samuel D’HAITI,KONA,,,"17,507",66.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,Jean-Hughes Narcisse,KID,,,"8,916",33.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),VERRETTES,ARTIBONITE,2016,Gerard Paul LORMEUS,PLK,,,"8,999",58.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),,ARTIBONITE,2016,Josnem Laurent,Inite,,,"6,366",41.4,,
